copy_batch_id,source_path,destination_path,artifact_class,standards_body,spec_id,source_release_or_version,target_release_or_version,copy_method,copied_at,checksum_source,checksum_destination,verified,status,notes
planned-evidence-013,<SOURCE_5G_LAB_SIMULATOR_ROOT>/legacy-standalone-5g-emulator/docs/oran-compliance.md,traceability/requirements/legacy-5g-emulator-oran-compliance-matrix.md,oran_compliance_matrix,O-RAN,mixed O-RAN WG/spec mapping,source-derived coverage matrix,per O-RAN release/spec register,shutil.copy2,2026-06-05T01:26:50Z,8494e3c41a57c1387f3a390eeee645e31387278fff2ea92097da312515cb9261,8494e3c41a57c1387f3a390eeee645e31387278fff2ea92097da312515cb9261,true,copied,Derived O-RAN coverage evidence; verify recency before external claims; copied and checksum verified
planned-evidence-014,<SOURCE_5G_LAB_SIMULATOR_ROOT>/legacy-standalone-5g-emulator/docs/oran-architecture.md,traceability/requirements/legacy-5g-emulator-oran-enhancement-architecture.md,oran_architecture_map,O-RAN,mixed O-RAN architecture/WG mapping,source-derived architecture map,per O-RAN release/spec register,shutil.copy2,2026-06-05T01:26:50Z,ff7b8fa87e9a1c493065b3f43b0c3608c2315ca2e0ca96918ff908b915daf557,ff7b8fa87e9a1c493065b3f43b0c3608c2315ca2e0ca96918ff908b915daf557,true,copied,Architecture-to-module evidence; transport/implementation caveats required; copied and checksum verified
planned-evidence-015,<SOURCE_5G_LAB_SIMULATOR_ROOT>/legacy-standalone-5g-emulator/open-digital-platform-2_0/clean_5g_emulator_api/oran/oran_spec_coverage.json,traceability/evidence_snapshots/oran-spec-coverage.json,oran_machine_readable_coverage,O-RAN,mixed O-RAN spec coverage,source coverage snapshot,per O-RAN release/spec register,shutil.copy2,2026-06-05T01:26:50Z,1d5bf4dfe38542a4223462154429a240e6c9108bb646852d77ffd6112973ff33,1d5bf4dfe38542a4223462154429a240e6c9108bb646852d77ffd6112973ff33,true,copied,Machine-readable coverage snapshot; preserve hash and date when copied; copied and checksum verified
planned-evidence-016,<SOURCE_5G_LAB_SIMULATOR_ROOT>/legacy-standalone-5g-emulator/spec-analysis/3_Complete-Specification-Map.txt,traceability/requirements/legacy-5g-emulator-complete-specification-map.txt,specification_map,3GPP;O-RAN;RFC,mixed,source-derived specification map,per release register,shutil.copy2,2026-06-05T01:26:50Z,3c6ae29a1d58a7ada2cc5cb475dac02cde9ece002d8404dfb93297a8af22021e,3c6ae29a1d58a7ada2cc5cb475dac02cde9ece002d8404dfb93297a8af22021e,true,copied,Coverage-map evidence only; not conformance proof; copied and checksum verified
planned-evidence-017,<SOURCE_5G_LAB_SIMULATOR_ROOT>/legacy-standalone-5g-emulator/docs/oran-compliance.md,traceability/requirements/oran-compliance.md,linked_oran_requirement_doc,O-RAN,mixed O-RAN WG/spec mapping,source-derived coverage matrix,per O-RAN release/spec register,shutil.copy2,2026-06-05T01:31:55Z,8494e3c41a57c1387f3a390eeee645e31387278fff2ea92097da312515cb9261,8494e3c41a57c1387f3a390eeee645e31387278fff2ea92097da312515cb9261,true,copied,Link-fix copy for legacy_5g_emulator-oran-enhancement-architecture.md; original filename preserved for relative Markdown link integrity; copied and checksum verified
planned-evidence-018,<SOURCE_5G_LAB_SIMULATOR_ROOT>/legacy-standalone-5g-emulator/docs/oran-fronthaul.md,traceability/requirements/oran-fronthaul.md,linked_oran_requirement_doc,O-RAN,O-RAN WG4 Open Fronthaul,source-derived fronthaul detail,per O-RAN release/spec register,shutil.copy2,2026-06-05T01:31:55Z,28ee84b61d2db1aad68fdb5fc7233bdabdcee261b9418d6cc8b0480ba0b3c063,28ee84b61d2db1aad68fdb5fc7233bdabdcee261b9418d6cc8b0480ba0b3c063,true,copied,Link-fix copy for legacy_5g_emulator-oran-enhancement-architecture.md; original filename preserved for relative Markdown link integrity; copied and checksum verified
planned-evidence-019,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/docs/specs_guide.md,traceability/requirements/tmf-specs-guide.md,cross_standard_specs_guide,TM Forum;O-RAN;3GPP,mixed,source narrative guide,per release register,shutil.copy2,2026-06-05T01:43:06Z,2f6197676fb0535ef7f8e0f527f8cd0286857dad2a04a214e2497b0ae741824c,2f6197676fb0535ef7f8e0f527f8cd0286857dad2a04a214e2497b0ae741824c,true,copied,Narrative/mapping evidence only; not conformance proof; copied and checksum verified
planned-evidence-020,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/networking_specs_inventory.txt,traceability/requirements/networking-spec-inventory.txt,standards_inventory,3GPP;TM Forum;O-RAN,mixed,source inventory,per release register,shutil.copy2,2026-06-05T01:43:06Z,39f568be8a46e53e862c35b56ec8f8278dab3f3af490a692d31a71e1d4e2828d,39f568be8a46e53e862c35b56ec8f8278dab3f3af490a692d31a71e1d4e2828d,true,copied,Inventory/scope evidence only; not conformance proof; copied and checksum verified; public tree redacts local absolute paths; checksum covers redacted artifact
planned-evidence-021,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/build_logs/stage19_oran_closed_loop.md,traceability/evidence_snapshots/techco-stage19-oran-closed-loop.md,oran_observed_behavior_evidence,O-RAN,closed-loop/O1/O2/E2 mapping,source demo evidence,per O-RAN release/spec register,shutil.copy2,2026-06-05T01:43:06Z,faecdbaa21fdf887bf87168da550c818d96e5b4de76ea3ef7fbe1e53808572da,faecdbaa21fdf887bf87168da550c818d96e5b4de76ea3ef7fbe1e53808572da,true,copied,Observed/demo behavior only; not formal O-RAN certification; copied and checksum verified
planned-evidence-022,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/specs/tmforum_standards/CTK-TMF638-ServiceInventory-R18-0/README.md,traceability/requirements/tmf638-ctk-r18-0-readme.md,ctk_reference_doc,TM Forum,TMF638,R18.0 CTK package README,official current target pending,shutil.copy2,2026-06-05T01:43:06Z,36dd95d48f2a8da4cba3a44556a02c63dcd3c749ac6fe9cbd160b899d9590a77,36dd95d48f2a8da4cba3a44556a02c63dcd3c749ac6fe9cbd160b899d9590a77,true,copied,Package context only; no TMF638 implementation/conformance proof; copied and checksum verified
planned-evidence-023,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/src/order_engine/app/adapters/o2ims_real_adapter.py,traceability/standards_mapping/oran-o2ims-real-adapter.py,boundary_source_mapping,O-RAN,O2IMS boundary mapping,source boundary implementation,per O-RAN release/spec register,shutil.copy2,2026-06-05T01:43:06Z,bc7e328374902e4e5942474f8819bdd5d86cf91d60df71c7371e2349fffa1be7,bc7e328374902e4e5942474f8819bdd5d86cf91d60df71c7371e2349fffa1be7,true,copied,Small boundary source file copied as mapping evidence only; corroborate with tests/reports before claims; copied and checksum verified
planned-evidence-024,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/src/order_engine/app/adapters/legacy_5g_emulator_python_adapter.py,traceability/standards_mapping/legacy-5g-emulator-python-adapter.py,boundary_source_mapping,3GPP;O-RAN,legacy standalone 5G emulator service/control-plane boundary mapping,source boundary implementation,per release register,shutil.copy2,2026-06-05T01:43:06Z,cceef95ffe6c770c0f2e49451c325fb812af7fd2af45661f164da34165a2efa9,cceef95ffe6c770c0f2e49451c325fb812af7fd2af45661f164da34165a2efa9,true,copied,Small boundary source file copied as mapping evidence only; operational behavior is not formal protocol compliance; copied and checksum verified
planned-evidence-025,<SOURCE_5G_LAB_SIMULATOR_ROOT>/tmforum_psr_learning/00_README.txt,references/learning_assets/tmforum-psr-learning-readme.txt,learning_reference,TM Forum,PSR learning/reference,learning/reference,reference-only,shutil.copy2,2026-06-05T01:43:06Z,f239e54fd78ee876e0837d372222be4115e4afed2c742200679dbba2b599cdd4,f239e54fd78ee876e0837d372222be4115e4afed2c742200679dbba2b599cdd4,true,copied,Reference-only learning context; not conformance proof; copied and checksum verified; public tree redacts local absolute paths; checksum covers redacted artifact
planned-evidence-026,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/build_logs/stage18_tmf620_lift.md,traceability/evidence_snapshots/techco-stage18-tmf620-lift.md,tmf620_lift_evidence,TM Forum,TMF620,source lift evidence,official current target pending,shutil.copy2,2026-06-05T01:49:22Z,80c369542b5f6fb344913b5cc1196c8a99eb76fe241f6e6a9a3675f99fd64d1c,80c369542b5f6fb344913b5cc1196c8a99eb76fe241f6e6a9a3675f99fd64d1c,true,copied,Implementation/lift evidence only; do not claim TMF620 v5 conformance without v5 CTK run; copied and checksum verified
planned-evidence-027,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/build_logs/stage25_oran_run_capture.md,traceability/evidence_snapshots/techco-stage25-oran-run-capture.md,oran_run_capture_evidence,O-RAN,mixed O-RAN run capture,source run evidence,per O-RAN release/spec register,shutil.copy2,2026-06-05T01:49:22Z,4372b76fb6f8b8dc405aa681986be13280ecb252e1cdec43848eeaf44936623a,4372b76fb6f8b8dc405aa681986be13280ecb252e1cdec43848eeaf44936623a,true,copied,Demo/run evidence only; not formal O-RAN certification; copied and checksum verified
planned-evidence-028,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/build_logs/stage31_docs_specs_verify.md,traceability/evidence_snapshots/techco-stage31-docs-specs-verify.md,docs_specs_verification_evidence,TM Forum;O-RAN;3GPP,mixed,source docs/spec verify evidence,per release register,shutil.copy2,2026-06-05T01:49:22Z,eeb4c2e36778c207317cd98fdb1e80d3b2ebb108fddad8cd191a90b28020cdb6,eeb4c2e36778c207317cd98fdb1e80d3b2ebb108fddad8cd191a90b28020cdb6,true,copied,Documentation/spec verification evidence only; not protocol conformance; copied and checksum verified
planned-evidence-029,<SOURCE_5G_LAB_SIMULATOR_ROOT>/legacy-standalone-5g-emulator/docs/3gpp-compliance.md,traceability/requirements/legacy-5g-emulator-3gpp-compliance.md,3gpp_compliance_mapping_doc,3GPP,mixed 3GPP mapping,source compliance mapping,per 3GPP release register,shutil.copy2,2026-06-05T01:49:22Z,9f8bbffab1ae5f8c01eb87e39a3f8823fc135dcc1a3c60a718ccc6edadb2d448,9f8bbffab1ae5f8c01eb87e39a3f8823fc135dcc1a3c60a718ccc6edadb2d448,true,copied,Claims must be reconciled to release register; mapping doc only until executable test evidence is tied to release; copied and checksum verified
planned-evidence-030,<SOURCE_5G_LAB_SIMULATOR_ROOT>/legacy-standalone-5g-emulator/open-digital-platform-2_0/clean_5g_emulator_api/docs/compliance_report.txt,traceability/evidence_snapshots/legacy-5g-emulator-5g-emulator-compliance-report.txt,5g_emulator_compliance_report,3GPP;O-RAN,mixed,source-generated compliance report,per release register,shutil.copy2,2026-06-05T01:49:22Z,4737bce2a4d86ab7bac11193f21d364c6a377da89ebadaf39c6f42268ba6ed9a,4737bce2a4d86ab7bac11193f21d364c6a377da89ebadaf39c6f42268ba6ed9a,true,copied,Source-generated report; validate scope/release before external claims; copied and checksum verified
planned-evidence-031,<SOURCE_5G_LAB_SIMULATOR_ROOT>/legacy-standalone-5g-emulator/spec-analysis/2_Depth-of-Understanding.txt,traceability/requirements/legacy-5g-emulator-depth-of-understanding.txt,spec_understanding_analysis,3GPP;O-RAN,mixed,source narrative analysis,per release register,shutil.copy2,2026-06-05T01:49:22Z,c1fa3b42f6d96ea73306f05230e743546df411bb41e5217c81f9fcf1dd651fe2,c1fa3b42f6d96ea73306f05230e743546df411bb41e5217c81f9fcf1dd651fe2,true,copied,Narrative analysis only; not conformance proof; copied and checksum verified
planned-evidence-032,<SOURCE_5G_LAB_SIMULATOR_ROOT>/legacy-standalone-5g-emulator/spec-analysis/4_Specification-Map-Index.txt,traceability/requirements/legacy-5g-emulator-specification-map-index.txt,specification_map_index,3GPP;O-RAN,mixed,source map index,per release register,shutil.copy2,2026-06-05T01:49:22Z,07d444d3298ec17c2444dc1ec7e1ff998542e153ccc48281a3418e839bb662f6,07d444d3298ec17c2444dc1ec7e1ff998542e153ccc48281a3418e839bb662f6,true,copied,Index/mapping evidence only; copied and checksum verified
planned-evidence-033,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/docs/components/oran_o2ims.md,traceability/requirements/techco-oran-o2ims-component.md,component_mapping_doc,O-RAN,O2IMS,source component doc,per O-RAN release/spec register,shutil.copy2,2026-06-05T01:49:22Z,68d0ac0fc1128cf97025b0474203243a86c69e3df27883183c31acc04d232683,68d0ac0fc1128cf97025b0474203243a86c69e3df27883183c31acc04d232683,true,copied,Documentation evidence; corroborate with run captures/tests; copied and checksum verified
planned-evidence-034,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/docs/components/catalog_api.md,traceability/requirements/techco-catalog-api-component.md,component_mapping_doc,TM Forum,TMF620,source component doc,official current target pending,shutil.copy2,2026-06-05T01:49:22Z,f49bbb52a8a53b9ed4a0e342e4a45bee9df8ee21fb5e237789aeddd2f550f16e,f49bbb52a8a53b9ed4a0e342e4a45bee9df8ee21fb5e237789aeddd2f550f16e,true,copied,Documentation evidence; do not claim v5 conformance without v5 CTK; copied and checksum verified
planned-evidence-035,<SOURCE_5G_LAB_SIMULATOR_ROOT>/5G_Wireline_Simulator/00_simulator_requirements.txt,experimental/wireline_convergence/5g-wireline-simulator-requirements.txt,wireline_convergence_reference,3GPP;transport/wireline convergence,experimental convergence requirements,reference requirements,experimental/reference-only,shutil.copy2,2026-06-05T01:49:22Z,cf56326df60843f3410682da1222baa244bb305bda438cee8696a1f970522cab,cf56326df60843f3410682da1222baa244bb305bda438cee8696a1f970522cab,true,copied,Reference/requirements only; not current telco conformance evidence; copied and checksum verified
planned-evidence-036,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/build_logs/stage8_o2ims.md,traceability/evidence_snapshots/techco-stage8-o2ims.md,oran_o2ims_evidence,O-RAN,O2IMS,source implementation/run evidence,per O-RAN release/spec register,shutil.copy2,2026-06-05T01:56:04Z,f484e3241057df21e9aa09984fa8a7a1bc8ab94ca0be59136127edfbfd0e1127,f484e3241057df21e9aa09984fa8a7a1bc8ab94ca0be59136127edfbfd0e1127,true,copied,Demo/implementation evidence only; not formal O-RAN certification; copied and checksum verified
planned-evidence-037,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/build_logs/stage15_epc_ran_verification.md,traceability/evidence_snapshots/techco-stage15-epc-ran-verification.md,epc_ran_verification_evidence,3GPP,RAN/EPC functional mapping,source verification evidence,per 3GPP release register,shutil.copy2,2026-06-05T01:56:04Z,e6d4fb18c8b9598e5498e685d2a6074cc6e1d09f088b53f42f9263285452395b,e6d4fb18c8b9598e5498e685d2a6074cc6e1d09f088b53f42f9263285452395b,true,copied,Functional verification only; release mapping still required; copied and checksum verified
planned-evidence-038,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/build_logs/stage16_slicing_e2e.md,traceability/evidence_snapshots/techco-stage16-slicing-e2e.md,slicing_e2e_evidence,3GPP,network slicing functional mapping,source E2E demo evidence,per 3GPP release register,shutil.copy2,2026-06-05T01:56:04Z,bfc7ae50a5c05eec68b3e425b7172815770645124f90fc5b0f94ba80d14b8f6a,bfc7ae50a5c05eec68b3e425b7172815770645124f90fc5b0f94ba80d14b8f6a,true,copied,E2E demo evidence only; not protocol conformance; copied and checksum verified
planned-evidence-039,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/build_logs/stage9_ims_verification.md,traceability/evidence_snapshots/techco-stage9-ims-verification.md,ims_verification_evidence,3GPP,IMS functional mapping,source verification evidence,per 3GPP release register,shutil.copy2,2026-06-05T01:56:04Z,839432231874af5511199a22dc8f229a28cd4f5b225b846800ace6ea1f347629,839432231874af5511199a22dc8f229a28cd4f5b225b846800ace6ea1f347629,true,copied,Functional IMS verification only; not formal IMS conformance; copied and checksum verified
planned-evidence-040,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/build_logs/stage12_vonr_call.md,traceability/evidence_snapshots/techco-stage12-vonr-call.md,vonr_call_evidence,3GPP,IMS/VoNR functional mapping,source demo evidence,per 3GPP release register,shutil.copy2,2026-06-05T01:56:04Z,a5d38e06b9360d1197261a47dbbdf939a341b6ecd613ce65b4c0219d553b459f,a5d38e06b9360d1197261a47dbbdf939a341b6ecd613ce65b4c0219d553b459f,true,copied,VoNR demo evidence only; not formal IMS/VoNR conformance; copied and checksum verified
planned-evidence-041,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/build_logs/stage1_legacy_5g_emulator_verification.md,traceability/evidence_snapshots/techco-stage1-legacy-5g-emulator-verification.md,legacy_5g_emulator_source_lineage_evidence,3GPP;O-RAN,legacy standalone 5G emulator integration lineage,source-local verification,per release register,shutil.copy2,2026-06-05T01:56:04Z,d175e797e7d30ce09f93f7a512ed362b9e909a53fdd01699060c104477e5a751,d175e797e7d30ce09f93f7a512ed362b9e909a53fdd01699060c104477e5a751,true,copied,Source-local verification evidence only; copied and checksum verified
planned-evidence-042,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/docs/testing.md,traceability/requirements/techco-testing.md,test_strategy_doc,TM Forum;3GPP;O-RAN,mixed test strategy,source testing documentation,per release register,shutil.copy2,2026-06-05T01:56:04Z,a06528747774900d51df100c80d9692e9774d5e708640a6a1ae679cf79192823,a06528747774900d51df100c80d9692e9774d5e708640a6a1ae679cf79192823,true,copied,Documentation evidence; verify links and claim language before use; copied and checksum verified
planned-evidence-043,<SOURCE_5G_LAB_SIMULATOR_ROOT>/legacy-standalone-5g-emulator/open-digital-platform-2_0/clean_5g_emulator_api/tests/requirements-test.txt,traceability/evidence_snapshots/legacy-5g-emulator-5g-emulator-requirements-test.txt,emulator_requirements_test_artifact,3GPP;O-RAN,emulator requirements test,source test artifact,per release register,shutil.copy2,2026-06-05T01:56:04Z,cbce2bdc4a702c5eb5b7a36306e7687c957cd7991c62d17703455fa79e817af9,cbce2bdc4a702c5eb5b7a36306e7687c957cd7991c62d17703455fa79e817af9,true,copied,Small test artifact only; not full test suite migration; copied and checksum verified
planned-evidence-044,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/docs/components/5g_core.md,traceability/requirements/techco-5g-core-component.md,component_mapping_doc,3GPP,5GC component mapping,source component documentation,per 3GPP release register,shutil.copy2,2026-06-05T01:56:04Z,e1f46d684dfff0dcf762891b42af2952fe8bb49a0a1fa70e87b5b3f2081989cb,e1f46d684dfff0dcf762891b42af2952fe8bb49a0a1fa70e87b5b3f2081989cb,true,copied,Documentation evidence only; not conformance proof; copied and checksum verified
planned-evidence-045,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/docs/components/ran.md,traceability/requirements/techco-ran-component.md,component_mapping_doc,3GPP;O-RAN,RAN/O-RAN adjacency mapping,source component documentation,per release register,shutil.copy2,2026-06-05T01:56:04Z,a17411f36e7f7c2d49ec084aff059dac8bc2d666eb4df750272bc9c3e2df5fca,a17411f36e7f7c2d49ec084aff059dac8bc2d666eb4df750272bc9c3e2df5fca,true,copied,Documentation evidence; check links when copied; copied and checksum verified
planned-evidence-046,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/docs/api_reference.md,traceability/requirements/techco-api-reference.md,api_reference_doc,TM Forum;3GPP;O-RAN,mixed API reference,source reference documentation,per release register,shutil.copy2,2026-06-05T02:01:36Z,sha256-source-redacted-clean-name,1d958acf19a27a31078a67fb7cb8c85e9b8b56daf2ebf3334b2e27087e5aa4fe,true,copied,Reference doc only; verify links and claims; copied and checksum verified
planned-evidence-047,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/docs/operations.md,traceability/requirements/techco-operations.md,operations_reference_doc,TM Forum;3GPP;O-RAN,mixed operations reference,source operations documentation,per release register,shutil.copy2,2026-06-05T02:01:36Z,c3e67e36329dbfcb60561eb8830f6246e9edffb7d9efea3b2701d661bbb88256,c3e67e36329dbfcb60561eb8830f6246e9edffb7d9efea3b2701d661bbb88256,true,copied,Operations/reference doc only; not conformance proof; copied and checksum verified
planned-evidence-048,<SOURCE_5G_LAB_SIMULATOR_ROOT>/Tech-Co/docs/components/ims.md,traceability/requirements/techco-ims-component.md,component_mapping_doc,3GPP,IMS/VoNR component mapping,source component documentation,per 3GPP release register,shutil.copy2,2026-06-05T02:01:36Z,fcb3eca651a365df6aff0a3364bdb2ae2ccfa094073a06330b2dfcea82903f65,fcb3eca651a365df6aff0a3364bdb2ae2ccfa094073a06330b2dfcea82903f65,true,copied,Documentation evidence only; not formal IMS/VoNR conformance; copied and checksum verified
